latitude,longitude,class
33.284303,35.552535,0
33.284378,35.553007,0
33.283966,35.552562,0
33.283932,35.552417,0
33.283761,35.552617,0
33.283976,35.552585,0
33.28457,35.55248,0
33.283864,35.552667,0
33.28468,35.547034,0
33.285034,35.547267,0
33.28522,35.546904,0
33.285262,35.547007,0
33.284605,35.547053,0
33.285075,35.546462,0
33.282754,35.550441,0
33.28327,35.550259,0
33.282738,35.550485,0
33.282588,35.550372,0
33.282649,35.549746,0
33.282663,35.55019,0
33.282533,35.549929,0
33.287354,35.545764,0
33.28674,35.545635,0
33.287608,35.545783,0
33.287243,35.545565,0
33.286906,35.545459,0
33.287574,35.544884,0
33.287362,35.54568,0
33.287195,35.545573,0
33.287606,35.545337,0
33.284532,35.549218,0
33.284929,35.549032,0
33.285245,35.549423,0
33.284521,35.549311,0
33.284728,35.549152,0
33.285205,35.549056,0
33.28458,35.548752,0
33.284653,35.548719,0
33.284422,35.549334,0
33.284593,35.549429,0
33.285011,35.549029,0
33.282205,35.549571,0
33.282778,35.549591,0
33.283064,35.550071,0
33.282848,35.549639,0
33.282528,35.549888,0
33.282435,35.550468,0
33.282826,35.549674,0
33.283133,35.550153,0
33.282768,35.549989,0
33.282462,35.549765,0
33.278839,35.548296,0
33.279103,35.548617,0
33.279022,35.548569,0
33.279706,35.548935,0
33.279707,35.548423,0
33.279072,35.54817,0
33.278949,35.548858,0
33.279668,35.548315,0
33.279709,35.548905,0
33.285715,35.547451,1
33.286471,35.547185,1
33.286498,35.547155,1
33.285636,35.54769,1
33.285683,35.547232,1
33.285789,35.546888,1
33.285567,35.546916,1
33.286187,35.547582,1
33.286146,35.547086,1
33.286197,35.547432,1
33.285645,35.547698,1
33.286743,35.550202,1
33.286814,35.549597,1
33.287014,35.550332,1
33.286898,35.549569,1
33.286665,35.550199,1
33.28679,35.549677,1
33.28717,35.549656,1
33.286574,35.54991,1
